Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
earn,0.0,0.0030211480362537764,0.0030211480362537764
tenur,0.0,0.0030211480362537764,0.0030211480362537764
descent,0.0,0.0030211480362537764,0.0030211480362537764
welsh,0.0,0.0030211480362537764,0.0030211480362537764
ran,0.0,0.0030211480362537764,0.0030211480362537764
eventu,0.0,0.0030211480362537764,0.0030211480362537764
english,0.0,0.0030211480362537764,0.0030211480362537764
help,0.0,0.0030211480362537764,0.0030211480362537764
hugh,0.0,0.0030211480362537764,0.0030211480362537764
intern,0.0,0.0030211480362537764,0.0030211480362537764
methodist,0.0,0.0030211480362537764,0.0030211480362537764
email,0.0,0.0030211480362537764,0.0030211480362537764
yale,0.0,0.0030211480362537764,0.0030211480362537764
suburb,0.0,0.0030211480362537764,0.0030211480362537764
conserv,0.0,0.0030211480362537764,0.0030211480362537764
bill,0.0,0.0030211480362537764,0.0030211480362537764
dian,0.0,0.0030211480362537764,0.0030211480362537764
diplomat,0.0,0.0030211480362537764,0.0030211480362537764
former,0.0,0.0030211480362537764,0.0030211480362537764
close,0.0,0.0030211480362537764,0.0030211480362537764
barack,0.0,0.0030211480362537764,0.0030211480362537764
run,0.0,0.0030211480362537764,0.0030211480362537764
becom,0.0,0.0030211480362537764,0.0030211480362537764
goldwat,0.0,0.0030211480362537764,0.0030211480362537764
major,0.0,0.0030211480362537764,0.0030211480362537764
candid,0.0,0.0030211480362537764,0.0030211480362537764
saw,0.0,0.0030211480362537764,0.0030211480362537764
legal,0.005747126436781609,0.0030211480362537764,0.0027259784005278327
two,0.0019157088122605363,0.004531722054380665,0.002616013242120129
lost,0.0019157088122605363,0.004531722054380665,0.002616013242120129
nation,0.0019157088122605363,0.004531722054380665,0.002616013242120129
parti,0.0019157088122605363,0.004531722054380665,0.002616013242120129
high,0.0019157088122605363,0.004531722054380665,0.002616013242120129
student,0.0019157088122605363,0.004531722054380665,0.002616013242120129
father,0.0019157088122605363,0.004531722054380665,0.002616013242120129
agreement,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
three,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
privat,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
nomine,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
charg,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
februari,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
war,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
degre,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
offic,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
investig,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
made,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
later,0.0038314176245210726,0.0015105740181268882,0.0023208436063941844
state,0.011494252873563218,0.013595166163141994,0.0021009132895787753
polit,0.005747126436781609,0.0075528700906344415,0.0018057436538528324
dure,0.005747126436781609,0.0075528700906344415,0.0018057436538528324
afterward,0.0,0.0015105740181268882,0.0015105740181268882
