Most common words,Absolute frequency,Relative frequency
children,2.0,0.0030211480362537764
chair,2.0,0.0030211480362537764
becam,2.0,0.0030211480362537764
follow,2.0,0.0030211480362537764
list,2.0,0.0030211480362537764
one,2.0,0.0030211480362537764
care,2.0,0.0030211480362537764
act,2.0,0.0030211480362537764
independ,2.0,0.0030211480362537764
gender,2.0,0.0030211480362537764
women,2.0,0.0030211480362537764
scrutini,2.0,0.0030211480362537764
led,2.0,0.0030211480362537764
issu,2.0,0.0030211480362537764
tenur,2.0,0.0030211480362537764
medic,2.0,0.0030211480362537764
attack,2.0,0.0030211480362537764
ran,2.0,0.0030211480362537764
eventu,2.0,0.0030211480362537764
develop,2.0,0.0030211480362537764
help,2.0,0.0030211480362537764
organ,2.0,0.0030211480362537764
intern,2.0,0.0030211480362537764
nuclear,2.0,0.0030211480362537764
email,2.0,0.0030211480362537764
run,2.0,0.0030211480362537764
close,2.0,0.0030211480362537764
methodist,2.0,0.0030211480362537764
hugh,2.0,0.0030211480362537764
english,2.0,0.0030211480362537764
welsh,2.0,0.0030211480362537764
descent,2.0,0.0030211480362537764
teacher,2.0,0.0030211480362537764
attend,2.0,0.0030211480362537764
particip,2.0,0.0030211480362537764
girl,2.0,0.0030211480362537764
main,2.0,0.0030211480362537764
senior,2.0,0.0030211480362537764
south,2.0,0.0030211480362537764
conserv,2.0,0.0030211480362537764
saw,2.0,0.0030211480362537764
candid,2.0,0.0030211480362537764
goldwat,2.0,0.0030211480362537764
american,1.0,0.0015105740181268882
politician,1.0,0.0015105740181268882
repres,1.0,0.0015105740181268882
wife,1.0,0.0015105740181268882
member,1.0,0.0015105740181268882
nomine,1.0,0.0015105740181268882
woman,1.0,0.0015105740181268882
therebi,1.0,0.0015105740181268882
lose,1.0,0.0015105740181268882
wellesley,1.0,0.0015105740181268882
juri,1.0,0.0015105740181268882
doctor,1.0,0.0015105740181268882
degre,1.0,0.0015105740181268882
congression,1.0,0.0015105740181268882
counsel,1.0,0.0015105740181268882
marri,1.0,0.0015105740181268882
futur,1.0,0.0015105740181268882
cofound,1.0,0.0015105740181268882
appoint,1.0,0.0015105740181268882
servic,1.0,0.0015105740181268882
corpor,1.0,0.0015105740181268882
partner,1.0,0.0015105740181268882
littl,1.0,0.0015105740181268882
rock,1.0,0.0015105740181268882
rose,1.0,0.0015105740181268882
firm,1.0,0.0015105740181268882
journal,1.0,0.0015105740181268882
twice,1.0,0.0015105740181268882
hundr,1.0,0.0015105740181268882
influenti,1.0,0.0015105740181268882
america,1.0,0.0015105740181268882
healthcar,1.0,0.0015105740181268882
reform,1.0,0.0015105740181268882
fail,1.0,0.0015105740181268882
gain,1.0,0.0015105740181268882
approv,1.0,0.0015105740181268882
congress,1.0,0.0015105740181268882
play,1.0,0.0015105740181268882
lead,1.0,0.0015105740181268882
role,1.0,0.0015105740181268882
creation,1.0,0.0015105740181268882
insur,1.0,0.0015105740181268882
adopt,1.0,0.0015105740181268882
safe,1.0,0.0015105740181268882
foster,1.0,0.0015105740181268882
equal,1.0,0.0015105740181268882
un,1.0,0.0015105740181268882
confer,1.0,0.0015105740181268882
marit,1.0,0.0015105740181268882
relationship,1.0,0.0015105740181268882
came,1.0,0.0015105740181268882
lewinski,1.0,0.0015105740181268882
scandal,1.0,0.0015105740181268882
statement,1.0,0.0015105740181268882
reaffirm,1.0,0.0015105740181268882
commit,1.0,0.0015105740181268882
marriag,1.0,0.0015105740181268882
simultan,1.0,0.0015105740181268882
hold,1.0,0.0015105740181268882
offic,1.0,0.0015105740181268882
reelect,1.0,0.0015105740181268882
steer,1.0,0.0015105740181268882
outreach,1.0,0.0015105740181268882
committe,1.0,0.0015105740181268882
benefit,1.0,0.0015105740181268882
whose,1.0,0.0015105740181268882
impact,1.0,0.0015105740181268882
septemb,1.0,0.0015105740181268882
support,1.0,0.0015105740181268882
resolut,1.0,0.0015105740181268882
author,1.0,0.0015105740181268882
iraq,1.0,0.0015105740181268882
war,1.0,0.0015105740181268882
oppos,1.0,0.0015105740181268882
surg,1.0,0.0015105740181268882
troop,1.0,0.0015105740181268882
defeat,1.0,0.0015105740181268882
winner,1.0,0.0015105740181268882
primari,1.0,0.0015105740181268882
term,1.0,0.0015105740181268882
administr,1.0,0.0015105740181268882
establish,1.0,0.0015105740181268882
quadrenni,1.0,0.0015105740181268882
diplomaci,1.0,0.0015105740181268882
review,1.0,0.0015105740181268882
arab,1.0,0.0015105740181268882
spring,1.0,0.0015105740181268882
militari,1.0,0.0015105740181268882
intervent,1.0,0.0015105740181268882
libya,1.0,0.0015105740181268882
harshli,1.0,0.0015105740181268882
critic,1.0,0.0015105740181268882
failur,1.0,0.0015105740181268882
prevent,1.0,0.0015105740181268882
adequ,1.0,0.0015105740181268882
benghazi,1.0,0.0015105740181268882
isol,1.0,0.0015105740181268882
regim,1.0,0.0015105740181268882
sanction,1.0,0.0015105740181268882
iran,1.0,0.0015105740181268882
forc,1.0,0.0015105740181268882
curtail,1.0,0.0015105740181268882
thi,1.0,0.0015105740181268882
multin,1.0,0.0015105740181268882
jcpoa,1.0,0.0015105740181268882
agreement,1.0,0.0015105740181268882
use,1.0,0.0015105740181268882
privat,1.0,0.0015105740181268882
server,1.0,0.0015105740181268882
subject,1.0,0.0015105740181268882
intens,1.0,0.0015105740181268882
charg,1.0,0.0015105740181268882
file,1.0,0.0015105740181268882
controversi,1.0,0.0015105740181268882
singl,1.0,0.0015105740181268882
cover,1.0,0.0015105740181268882
topic,1.0,0.0015105740181268882
made,1.0,0.0015105740181268882
second,1.0,0.0015105740181268882
gener,1.0,0.0015105740181268882
virginia,1.0,0.0015105740181268882
tim,1.0,0.0015105740181268882
kain,1.0,0.0015105740181268882
mate,1.0,0.0015105740181268882
oppon,1.0,0.0015105740181268882
despit,1.0,0.0015105740181268882
million,1.0,0.0015105740181268882
loss,1.0,0.0015105740181268882
wrote,1.0,0.0015105740181268882
third,1.0,0.0015105740181268882
memoir,1.0,0.0015105740181268882
happen,1.0,0.0015105740181268882
launch,1.0,0.0015105740181268882
onward,1.0,0.0015105740181268882
togeth,1.0,0.0015105740181268882
action,1.0,0.0015105740181268882
dedic,1.0,0.0015105740181268882
fundrais,1.0,0.0015105740181268882
progress,1.0,0.0015105740181268882
group,1.0,0.0015105740181268882
start,1.0,0.0015105740181268882
februari,1.0,0.0015105740181268882
join,1.0,0.0015105740181268882
faculti,1.0,0.0015105740181268882
affair,1.0,0.0015105740181268882
columbia,1.0,0.0015105740181268882
univers,1.0,0.0015105740181268882
edgewat,1.0,0.0015105740181268882
center,1.0,0.0015105740181268882
illinoi,1.0,0.0015105740181268882
live,1.0,0.0015105740181268882
three,1.0,0.0015105740181268882
old,1.0,0.0015105740181268882
manag,1.0,0.0015105740181268882
small,1.0,0.0015105740181268882
success,1.0,0.0015105740181268882
textil,1.0,0.0015105740181268882
busi,1.0,0.0015105740181268882
found,1.0,0.0015105740181268882
dorothi,1.0,0.0015105740181268882
howel,1.0,0.0015105740181268882
homemak,1.0,0.0015105740181268882
dutch,1.0,0.0015105740181268882
french,1.0,0.0015105740181268882
canadian,1.0,0.0015105740181268882
quebec,1.0,0.0015105740181268882
scottish,1.0,0.0015105740181268882
